Aeroport,Code_aeroport,Ville,Pays
Cooinda Airport,CDA,Cooinda,Australia
Jabiru Airport,JAB,Jabiru,Australia
Regensburg-Oberhub Airport,\N,Regensburg,Germany
Hastings Airport,HGS,Freetown,Sierra Leone
Philip Billard Municipal Airport,TOP,Topeka,United States
Benson Airstrip,\N,Uvalde,United States
Rough River State Park Airport,\N,Null,United States
Smyrna Airport,MQY,Smyrna,United States
Franklin County Airport,UOS,Sewanee,United States
Ngari Gunsa Airport,NGQ,Shiquanhe,China
Cochstedt Airport,CSO,Cochstedt,Germany
Collin County Regional At Mc Kinney Airport,\N,DALLAS,United States
Chicago Executive Airport,PWK,Chicago-Wheeling,United States
Southwest Washington Regional Airport,KLS,Kelso,United States
Benešov Airport,\N,Benesov,Czech Republic
Bougouni Airport,\N,Bougouni,Mali
Tureia Airport,ZTA,Tureia,French Polynesia
McMurdo Station Ice Runway,\N,Ross Island,Antarctica
Keekorok Airport,\N,Keekorok,Kenya
Puerto Obaldia Airport,PUE,Puerto Obaldia,Panama
Kerch Airport,KHC,Kerch,Ukraine
Ukunda Airstrip,UKA,Ukunda,Kenya
Wilmington Airpark,ILN,Wilmington,United States
Marana Regional Airport,AVW,Tucson,United States
Casa Grande Municipal Airport,CGZ,Casa Grande,United States
Mobile Airport,\N,Mobile,United States
Buckeye Municipal Airport,BXK,Buckeye,United States
Gila Bend Municipal Airport,\N,Gila Bend,United States
McMinn County Airport,MMI,Athens,United States
Sterling Municipal Airport,STK,Sterling,United States
Rawlins Municipal Airport/Harvey Field,RWL,Rawlins,United States
Mackenzie Airport,\N,Mackenzie British Columbia,Canada
Essex County Airport,CDW,Caldwell,United States
Lee C Fine Memorial Airport,AIZ,Kaiser Lake Ozark,United States
Thomasville Regional Airport,TVI,Thomasville,United States
Henderson Executive Airport,HSH,Henderson,United States
Gostomel Airport,GML,Kiev,Ukraine
Henry Tift Myers Airport,TMA,Tifton,United States
Landshut Airport,\N,Landshut,Germany
Itzehoe/Hungriger Wolf Airport,\N,Itzehoe,Germany
Radom Airport,RDO,RADOM,Poland
Phoenix Deer Valley Airport,DVT,Phoenix ,United States
Calgary / Springbank Airport,\N,Calgary,Canada
Golden Airport,\N,Golden,Canada
Revelstoke Airport,YRV,Revelstoke,Canada
Republic Airport,FRG,Farmingdale,United States
Allstedt Airport,\N,Allstedt,Germany
General Freire Airport,\N,Curico,Chile
Peine-Eddesse Airport,\N,Peine,Germany
South Texas Regional Airport at Hondo,\N,Hondo,United States
Zhongwei Shapotou Airport,ZHY,Zhongwei,China
McKinley National Park Airport,MCL,McKinley Park,United States
Lake Hood Airport,\N,Anchorage,United States
Prospect Creek Airport,PPC,Prospect Creek,United States
Khwai River Lodge Airport,KHW,Khwai River,Botswana
Spremberg-Welzow Airport,\N,Welzow,Germany
Taichung Airport,TXG,Taichung,Taiwan
Wheeling Ohio County Airport,HLG,Wheeling,United States
Fitzgerald Municipal Airport,\N,Fitzgerald,United States
Ye Airport,XYE,Ye,Burma
Isla San Felix Airport,\N,Isla San Felix,Chile
Shaibah Airport,\N,Shaybah,Saudi Arabia
Al Maktoum International Airport,DWC,Dubai,United Arab Emirates
Aransas County Airport,RKP,Rockport,United States
Megève Airport,MVV,Verdun,France
Méribel Altiport,MFX,Ajaccio,France
Baise Youjiang Airport,AEB,Baise,China
Okaukuejo Airport,OKF,Okaukuejo,Namibia
Mokuti Lodge Airport,OKU,Mokuti Lodge,Namibia
Rotenburg (Wümme,\N,Rotenburg Wuemme,Germany
Wipperfürth-Neye Airport,\N,Wipperfuerth,Germany
Osnabrück-Atterheide Airport,\N,Osnabrueck,Germany
Flugplatz Ballenstedt,\N,Ballenstedt,Germany
Flugplatz Hartenholm,\N,Hasenmoor,Germany
Ganderkesee Atlas Airfield,\N,Ganderkesee,Germany
Nienburg-Holzbalge Airport,\N,Nienburg Weser,Germany
Damme Airfield,\N,Damme,Germany
Borkenberge Airport,\N,Duelmen,Germany
Obermehler-Schlotheim Airport,\N,Obermehler,Germany
Hodenhagen Airport,\N,Hodenhagen,Germany
Grube Airport,\N,Grube,Germany
Tønder Airport,\N,Toender,Denmark
Celle-Arloh Airport,\N,Celle,Germany
Uelzen Airport,\N,Uelzen,Germany
Hamm-Lippewiesen Airport,\N,Hamm,Germany
Lüsse Airport,\N,Luesse,Germany
Porta Westfalica Airport,\N,Bad Oeynhausen,Germany
Brilon/Hochsauerlandkreis Airfield,\N,Brilon,Germany
Hameln-Pyrmont Airport,\N,Bad Pyrmont,Germany
Nordholz-Spieka Airfield,\N,Cuxhaven,Germany
Köthen Airport,KOQ,Koethen,Germany
St. Michaelisdonn Airport,\N,Sankt Michaelisdonn,Germany
Salzgitter-Drütte Airport,\N,Salzgitter,Germany
Karlshöfen Airport,\N,Karlshoefen,Germany
Oldenburg-Hatten Airfield,\N,Oldenburg,Germany
Rinteln Airport,\N,Rinteln,Germany
Münster-Telgte Airport,\N,Muenster,Germany
St. Peter-Ording Airport,PSH,Sankt Peter-Ording,Germany
Lüchow-Rehbeck Airport,\N,Luechow,Germany
Klietz/Scharlibbe Airport,\N,Scharlibbe,Germany
Burg Airport,\N,Burg,Germany
Crisp County Cordele Airport,\N,Cordele,United States
Ormond Beach Municipal Airport,\N,Ormond Beach,United States
Bad Neuenahr-Ahrweiler Airfield,\N,Bad Neuenahr,Germany
Bad Dürkheim Airport,\N,Bad Duerkheim,Germany
Portland Troutdale Airport,TTD,Troutdale,United States
Portland Hillsboro Airport,HIO,Hillsboro,United States
One Police Plaza Heliport,\N,New York,United States
Leverkusen Airport,\N,Leverkusen,Germany
Wershofen/Eifel Airfield,\N,Wershofen,Germany
Khost Airport,KHT,Khost,Afghanistan
Namtu Airport,NMT,Naypyidaw,Burma
Bend Municipal Airport,\N,Bend,United States
Christmas Valley Airport,\N,Christmas Valley,United States
Burns Municipal Airport,BNO,Burns,United States
Prineville Airport,PRZ,Prineville,United States
Red Bluff Municipal Airport,RBL,Red Bluff,United States
Marin County Airport - Gnoss Field,NOT,Novato,United States
Lake County Airport,LKV,Lakeview,United States
Tillamook Airport,OTK,Tillamook,United States
Ontario Municipal Airport,ONO,Ontario,United States
Columbia Gorge Regional the Dalles Municipal Airport,DLS,The Dalles,United States
Montgomery County Airpark,GAI,Gaithersburg,United States
Sharana Airstrip,OAS,Sharona,Afghanistan
Pembroke Airport,YTA,Pembroke,Canada
Tsumeb Airport,TSB,Tsumeb,Namibia
Suffield Heliport,YSD,Suffield,Canada
Blumenau Airport,BNU,BLUMENAU,Brazil
Bolshoye Gryzlovo Airfield,\N,Stupino,Russia
Charlevoix Municipal Airport,\N,Charelvoix,United States
Mykines Heliport,\N,Mykines,Faroe Islands
Cornwall Regional Airport,YCC,Cornwall,Canada
Seppe Airfield,\N,Bosschenhoofd,Netherlands
St Stephan Airport,\N,St.Stephan,Switzerland
Zona da Mata Regional Airport,IZA,Juiz de Fora,Brazil
IAR Gimbav Heliport,\N,Brasov,Romania
Flagler Executive Airport,\N,Flagler,United States
Morrisville Stowe State Airport,MVL,Morrisville,United States
Dallas Executive Airport,RBD,Dallas,United States
Como (Idroscalo - Water Ad,\N,Como,Italy
Krainiy Airport,BXY,Baikonur,Kazakhstan
Westerly State Airport,WST,Washington County,United States
Block Island State Airport,BID,Block Island,United States
Nightmute Airport,NME,Nightmute,United States
Toksook Bay Airport,OOK,Toksook Bay,United States
Ittoqqortoormiit Heliport,OBY,Ittoqqortoormiit,Greenland
Vinnytsia/Gavyryshivka Airport,VIN,Vinnitsa,Ukraine
Decatur County Industrial Air Park,BGE,Bainbridge,United States
La Romaine Airport,ZGS,La Romaine,Canada
Kegaska Airport,ZKG,Kegaska,Canada
Black Tickle Airport,YBI,Black Tickle,Canada
Silver Springs Airport,\N,Silver Springs,United States
Whiteman Airport,WHP,Los Angeles,United States
Madera Municipal Airport,MAE,Madera,United States
Trail Airport,YZZ,Trail,Canada
Victoria Airport,\N,Patricia Bay,Canada
Old Arctic Bay Airport,YAB,Arctic Bay,Canada
Birchwood Airport,\N,Belmopan,Belize
Grand-Santi Airport,GSI,Grand-Santi,French Guiana
Maripasoula Airport,MPY,Maripasoula,French Guiana
Saint-Laurent-du-Maroni Airport,LDX,Saint-Laurent-du-Maroni,French Guiana
Kanas Airport,KJI,Burqin,China
Capurganá Airport,CPB,Capurgana,Colombia
Sohag International Airport,HMB,Sohag,Egypt
Presidente General Don Oscar D. Gestido International Airport,RVY,Rivera,Uruguay
Patos de Minas Airport,POJ,Patos de Minas,Brazil
Bauru - Arealva Airport,JTC,Bauru,Brazil
Ourilândia do Norte Airport,OIA,Ourilandia do Norte,Brazil
Redenção Airport,RDC,Redencao,Brazil
São Félix do Xingu Airport,SXX,Sao Felix do Xingu,Brazil
Bonito Airport,BYO,Bointo,Brazil
São Félix do Araguaia Airport,SXO,Sao Felix do Araguaia,Brazil
Caçador Airport,CFC,Cacador,Brazil
Carauari Airport,CAF,Carauari,Brazil
Urucu Airport,\N,Porto Urucu,Brazil
Eirunepé Airport,ERN,Eirunepe,Brazil
Concórdia Airport,CCI,Concordia,Brazil
Francisco Beltrão Airport,FBE,Francisco Beltrao,Brazil
Confresa Airport,CFO,Confresa,Brazil
Apalachicola Regional Airport,AAF,Apalachicola,United States
Umuarama Airport,UMU,Umuarama,Brazil
Diamantina Airport,DTI,Diamantina,Brazil
Fonte Boa Airport,FBA,Fonte Boa,Brazil
Senadora Eunice Micheles Airport,OLC,Sao Paulo de Olivenca,Brazil
Humaitá Airport,HUW,Humaita,Brazil
Tapuruquara Airport,IRZ,Santa Isabel do Rio Negro,Brazil
Oriximiná Airport,ORX,Oriximina,Brazil
Hotel Transamérica Airport,UNA,Una,Brazil
Telfer Airport,TEF,Telfer,Australia
Gazipaşa Airport,GZP,Alanya,Turkey
Shank Air Base,OAA,Shank,Afghanistan
Douglas Municipal Airport,\N,Douglas,United States
St Lucie County International Airport,FPR,Fort Pierce,United States
Taunton Municipal King Field,\N,Taunton,United States
Plymouth Municipal Airport,PYM,Plymouth,United States
Quonset State Airport,NCO,North Kingstown,United States
Norwood Memorial Airport,OWD,Norwood,United States
Westfield-Barnes Regional Airport,BAF,Westfield,United States
Windham Airport,\N,Willimantic,United States
Orange County Airport,MGJ,Montgomery,United States
Capital City Airport,HAR,Harrisburg,United States
Marshfield Municipal George Harlow Field,\N,Marshfield,United States
Danbury Municipal Airport,DXR,Danbury,United States
Boire Field,ASH,Nashua,United States
Lawrence Municipal Airport,LWM,Lawrence,United States
Waterbury Oxford Airport,OXC,Oxford,United States
Fitchburg Municipal Airport,\N,Fitchburg,United States
Earl L. Small Jr. Field/Stockmar Airport,\N,Villa Rica,United States
Cartersville Airport,\N,Cartersville,United States
Centre-Piedmont-Cherokee County Regional Airport,\N,Centre,United States
Richard B Russell Airport,RMG,Rome,United States
Northeast Alabama Regional Airport,GAD,Gadsden,United States
Knoxville Downtown Island Airport,\N,Knoxville,United States
Barrow County Airport,WDR,Winder,United States
Plantation Airpark,\N,Sylvania,United States
Dalton Municipal Airport,DNN,Dalton,United States
West Georgia Regional O V Gray Field,\N,Carrollton,United States
LaGrange Callaway Airport,LGC,LaGrange,United States
Baldwin County Regional Airport,\N,Milledgeville,United States
Harris County Airport,PIM,Pine Mountain,United States
Peachtree City Falcon Field,\N,Atlanta,United States
Lee Gilmer Memorial Airport,GVL,Gainesville,United States
Harry Clever Field,PHD,New Philadelpha,United States
Darlington County Airport,\N,Darlington,United States
Hilton Head Airport,HHH,Hilton Head Island,United States
Daniel Field,DNL,Augusta,United States
Foothills Regional Airport,MRN,Morganton,United States
Pike County-Hatcher Field,PVL,Pikeville,United States
Mallards Landing Airport,\N,Locust Grove,United States
Toccoa Airport - R.G. Letourneau Field,TOC,Toccoa,United States
Compton Abbas Aerodrome,\N,Shaftesbury,United Kingdom
Suprunovka Airport,PLV,Poltava,Ukraine
Aweil Airport,\N,Aweil,Sudan
Wau Airport,WUU,Wau,Sudan
Humera Airport,HUE,Humera,Ethiopia
Moyale Airport,OYL,Moyale,Kenya
Zagora Airport,OZG,Zagora,Morocco
Yengema Airport,WYE,Yengema,Sierra Leone
Gbangbatok Airport,GBK,Gbangbatok,Sierra Leone
Turukhansk Airport,THX,Turukhansk,Russia
Podkamennaya Tunguska Airport,TGP,Bor,Russia
Fort Worth Alliance Airport,AFW,Fort Worth,United States
East Troy Municipal Airport,\N,East Troy,United States
Kolpashevo Airport,\N,Kolpashevo,Russia
Ali Al Salem Air Base,\N,Kuwait,Kuwait
Renmark Airport,RMK,Renmark,Australia
Leigh Creek Airport,LGH,Leigh Creek,Australia
Warburton Airport,\N,Warburton Community,Australia
Cunderdin Airport,\N,Cunderdin,Australia
Rottnest Island Airport,RTS,Rottnest Island,Australia
Forrest Airport,FOS,Forrest,Australia
Ballarat Airport,\N,Ballarat,Australia
Keewaywin Airport,KEW,Keewaywin,Canada
Marathon Airport,YSP,Marathon,Canada
Hearst René Fontaine Municipal Airport,YHF,Hearst,Canada
Hornepayne Municipal Airport,YHN,Hornepayne,Canada
Kirkland Lake Airport,YKX,Kirkland Lake,Canada
Manitouwadge Airport,YMG,Manitouwadge,Canada
Wawa Airport,YXZ,Wawa,Canada
Manitoulin East Municipal Airport,YEM,Manitowaning,Canada
Slate Falls Airport,\N,Slate Falls,Canada
Collingwood Airport,\N,Collingwood,Canada
Brantford Municipal Airport,\N,Brantford,Canada
Lawrence Municipal Airport,LWC,Lawrence,United States
Wellington Municipal Airport,\N,Wellington,United States
Pompano Beach Airpark,PPM,Pompano Beach,United States
Mallacoota Airport,XMC,Mallacoota,Australia
Majeed Bin Abdulaziz Airport,ULH,Al-Ula,Saudi Arabia
Shelby County Airport,\N,Alabaster,United States
Yuendumu Airport,YUE,Yuendumu ,Australia
Sky Ranch At Carefree Airport,\N,Carefree,United States
Lombok International Airport,LOP,Praya,Indonesia
One Hundred Mile House Airport,\N,One Hundred Mile House,Canada
South Cariboo Region / 108 Mile Airport,ZMH,108 Mile Ranch,Canada
Glasgow City Heliport,\N,Glasgow,United Kingdom
Yarram Airport,\N,Yarram,Australia
Handan Airport,HDG,Handan,China
Indianapolis Metropolitan Airport,\N,Indianapolis,United States
London-Corbin Airport/Magee Field,LOZ,London,United States
Simmons Army Air Field,FBG,Fredericksburg,United States
Modlin Airport,WMI,Warsaw,Poland
Jixi Xingkaihu Airport,JXA,Jixi,China
Jeongseok Airport,JDG,Seogwipo,South Korea
Gimli Industrial Park Airport,YGM,Gimli,Canada
Matheson Island Airport,\N,Matheson Island,Canada
Tura Mountain Airport,\N,Tura,Russia
Beloyarskiy Airport,EYK,Beloyarsky,Russia
John H Batten Airport,RAC,Racine,United States
Cesar Lim Rodriguez Airport,RZP,Taytay,Philippines
Gera-Leumnitz Airfield,\N,Gera,Germany
Kasimovo Airfield,\N,Saint-Petersburg,Russia
Terlet Glider Field,\N,Arnhem,Netherlands
Shigatse Air Base,RKZ,Shigatse,China
Redlands Municipal Airport,\N,Redlands,United States
Flabob Airport,\N,Riverside,United States
Tacoma Narrows Airport,TIW,Tacoma,United States
Oerlinghausen Airport,\N,TELGTE,Germany
Jack Edwards Airport,GUF,Gulf Shores,United States
General Villamil Airport,IBB,Isabela,Ecuador
Balzers Heliport,\N,Balzers,Switzerland
Flugplatz Punitz,\N,Punitz-Guessing,Austria
Khmelnytskyi Airport,HMJ,Khmeinitskiy,Ukraine
Hiroshimanishi Airport,HIW,Hiroshima,Japan
Yalata Mission Airport,KYI,Yalata,Australia
Hazleton Municipal Airport,HZL,Hazleton,United States
Greater Cumberland Regional Airport,CBE,Cumberland,United States
Sugar Loaf Shores Airport,\N,Key West,United States
Wyndham Airport,WYN,Wyndham,Australia
Bob Quinn Lake Airport,YBO,Bob Quinn Lake,Canada
Msembe Airport,\N,Msembe,Tanzania
Grabtsevo Airport,KLF,Kaluga,Russia
Tri-County Regional Airport,LNR,Lone Rock,United States
Price County Airport,\N,Phillips,United States
Monroe Municipal Airport,\N,Monroe,United States
Joliet Regional Airport,JOT,Joliet,United States
Illinois Valley Regional Airport-Walter A Duncan Field,VYS,Peru,United States
Jackson County Reynolds Field,JXN,Jackson,United States
Fuerstenwalde Airport,\N,Furstenwalde,Germany
Eberswalde-Finow Airport,\N,Eberswalde,Germany
Joseph A. Hardy Connellsville Airport,\N,Connellsville,United States
Bedford County Airport,\N,Bedford,United States
Wings Field,BBX,Philadelphia,United States
Okeechobee County Airport,OBE,Okeechobee,United States
Sebring Regional Airport,SEF,Sebring,United States
Avon Park Executive Airport,AVO,Avon Park,United States
Winter Haven Regional Airport - Gilbert Field,GIF,Winter Haven,United States
Zephyrhills Municipal Airport,ZPH,Zephyrhills,United States
Ocala International Airport - Jim Taylor Field,OCF,Ocala,United States
Jesup Wayne County Airport,\N,Jesup,United States
Madison Municipal Airport,\N,Madison,United States
Newnan Coweta County Airport,\N,Newnan,United States
Thomson-McDuffie County Airport,\N,Thomson,United States
Aiken Regional Airport,AIK,Aiken,United States
Woodward Field,CDN,Camden,United States
Lumberton Regional Airport,LBT,Lumberton,United States
Moore County Airport,SOP,Pinehurst-Southern Pines,United States
Richmond County Airport,\N,Rockingham,United States
Baraboo Wisconsin Dells Airport,\N,Baraboo,United States
Statesville Regional Airport,SVH,Statesville,United States
Burlington Municipal Airport,\N,Burlington,United States
William T. Piper Memorial Airport,LHV,Lock Haven,United States
Zelienople Municipal Airport,\N,Zelienople,United States
Lorain County Regional Airport,\N,Lorain-Elyria,United States
Burke Lakefront Airport,BKL,Cleveland,United States
Chautauqua County-Dunkirk Airport,DKK,Dunkirk,United States
South Jersey Regional Airport,LLY,Mount Holly,United States
Linden Airport,LDJ,Linden,United States
Tri State Steuben County Airport,ANQ,Angola,United States
Warsaw Municipal Airport,\N,Warsaw,United States
Van Wert County Airport,\N,Van Wert,United States
Brooks Field,\N,Marshall,United States
Genesee County Airport,\N,Batavia,United States
Clearwater Air Park,CLW,Clearwater,United States
Orlampa Inc Airport,\N,Forties Alpha,United Kingdom
Chicago Meigs Airport,CGX,Chicago,United States
Pickens County Airport,\N,Jasper,United States
Saarmund Airport,\N,Saarmund,Germany
Grand Strand Airport,CRE,North Myrtle Beach,United States
Lansing Municipal Airport,\N,Lansing,United States
Ramona Airport,\N,Ramona,United States
Pont Sur Yonne Airfield,\N,Pont Sur Yonne,France
St Florentin Cheu Airfield,\N,St Florentin Cheu,France
Saulieu Liernais Airfield,\N,Saulieu,France
Olten Airport,\N,Olten,Switzerland
Buochs Airport,BXO,Buochs,Switzerland
Ambri Airport,\N,Quinto,Switzerland
Lodrino Air Base,\N,Lodrino,Switzerland
Roudnice Airport,\N,Roudnice nad Lebem,Czech Republic
Usti Nad Labem Airfield,\N,Usti Nad Labem,Czech Republic
Mauterndorf Airport,\N,Mauterndorf,Austria
Nötsch Im Gailtal Airport,\N,Notsch Im Gailtal,Austria
Sinsheim Airfield,\N,Karlsruhe,Germany
Weinheim/Bergstraße Airport,\N,Weinheim,Germany
Meaux Esbly Airport,\N,Meaux,France
Château-Thierry - Belleau Airfield,\N,Chateau-Thierry,France
Branch County Memorial Airport,\N,Coldwater,United States
Wilkes Barre Wyoming Valley Airport,WBW,Wilkes-Barre,United States
Willoughby Lost Nation Municipal Airport,LNN,Willoughby,United States
Taoyuan Air Base,\N,Taoyuan,Taiwan
Uummannaq Heliport,UMD,Uummannaq,Greenland
Bayannur Tianjitai Airport,RLK,Bayannur,China
Capital City Airport,FFT,Frankfort,United States
Auburn Lewiston Municipal Airport,LEW,Lewiston,United States
Inowroclaw Military Air Base,\N,Inowroclaw,Poland
Pruszcz Gdanski Air Base,\N,Pruszcz Gdansk,Poland
Bloyer Field,\N,Tomah,United States
Marco Island Executive Airport,MRK,Marco Island Airport,United States
Drummond Island Airport,DRE,Drummond Island,United States
Gladwin Zettel Memorial Airport,GDW,Gladwin,United States
South Haven Area Regional Airport,\N,South Haven,United States
Marshfield Municipal Airport,MFI,Marshfield,United States
Alexander Field South Wood County Airport,ISW,Wisconsin Rapids,United States
Clinton Municipal Airport,CWI,Clinton,United States
Beverly Municipal Airport,BVY,Beverly,United States
Nagaur Airport,\N,Nagaur,India
Ostafyevo International Airport,OSF,Moscow,Russia
Trois-Rivières Airport,YRQ,Trois Rivieres,Canada
Poplar Bluff Municipal Airport,POF,Poplar Bluff,United States
Somerset Airport,\N,Somerville,United States
Eastport Municipal Airport,\N,Eastport,United States
Keokuk Municipal Airport,EOK,Keokuk,United States
Perth/Scone Airport,PSL,Perth,United Kingdom
Caernarfon Airport,\N,Caernarfon,United Kingdom
Grefrath-Niershorst Airport,\N,Grefrath,Germany
St Paul Downtown Holman Field,STP,St. Paul,United States
Söderhamn Airport,SOO,Soderhamn,Sweden
Newcastle Aerodrome,\N,Newcastle,Ireland
Saravane Airport,VNA,Saravane,Laos
Segeletz Airport,\N,Segeletz,Germany
Fuentemilanos Airport,\N,Segovia,Spain
Akeno Airport,\N,Akeno,Japan
Ust-Kamchatsk Airport,\N,Ust Kamchatsk,Russia
Oconomowoc Airport,\N,Oconomowoc,United States
Kozyrevsk Airport,\N,Kozyrevsk,Russia
Dikson Airport,DKS,Dikson,Russia
Beverley Airport,\N,Mine Site,Australia
Bantry Aerodrome,BYT,Bantry,Ireland
Aliwal North Airport,\N,Aliwal North,South Africa
Alkantpan Copper Airport,\N,Alkantpan,South Africa
Alldays Airport,ADY,Alldays,South Africa
Bredasdorp Airport,\N,Barberton,South Africa
Butler Co Regional Airport - Hogan Field,HAO,Hamilton,United States
Bungoma Airport,\N,Bungoma,Kenya
Bura East Airport,\N,Bura,Kenya
Busia Airport,\N,Busia,Kenya
Embu Airport,\N,Embu,Kenya
Garba Tula Airport,\N,Garba Tula,Kenya
Garissa Airport,GAS,Garissa,Kenya
Hola Airport,HOA,Hola,Kenya
Homa Bay Airport,\N,Homa Bay,Kenya
Isiolo Airport,\N,Isiolo,Kenya
Kericho Airport,KEY,Kericho,Kenya
Kilaguni Airport,ILU,Kilaguni,Kenya
Antsirabe Airport,ATJ,Antsirabe,Madagascar
Bekily Airport,OVA,Bekily,Madagascar
Ust-Tsylma Airport,UTS,Ust-Tsylma,Russia
Gorno-Altaysk Airport,RGK,Gorno-Altaysk,Russia
Fond du Lac County Airport,FLD,Fond du Lac,United States
Waupaca Municipal Airport,\N,Waupaca,United States
Stevens Point Municipal Airport,STE,Stevens Point,United States
Mys Shmidta Airport,\N,Mys Shmidta,Russia
Moma Airport,MQJ,Honuu,Russia
Luce County Airport,\N,Newberry,United States
Peenemünde Airport,PEF,Peenemunde,Germany
Góraszka Airport,\N,Goraszka,Poland
Nusawiru Airport,CJN,Nusawiru,Indonesia
Galion Municipal Airport,GQQ,Galion,United States
Tiputini Airport,TPN,Tiputini,Ecuador
Rio Amazonas Airport,PTZ,Pastaza,Ecuador
Clarksville–Montgomery County Regional Airport,CKV,Clarksville,United States
Lompoc Airport,LPC,Lompoc,United States
Chester County G O Carlson Airport,CTH,Coatesville,United States
Bost Airport,BST,Lashkar Gah,Afghanistan
Lankaran International Airport,LLK,Lankaran,Azerbaijan
Gabala International Airport,GBB,Qabala,Azerbaijan
Zaqatala International Airport,ZTU,Zaqatala,Azerbaijan
Lake Placid Airport,LKP,Lake Placid,United States
Typliy Klyuch Airport,KDY,Khandyga,Russia
Magan Airport,GYG,Yakutsk,Russia
Qianjiang Wulingshan Airport,JIQ,Qianjiang,China
Cooma Hospital Helipad,\N,Yuzhno-Kurilsk,Russia
Lima Allen County Airport,AOH,Lima,United States
Sondok Airport,DSO,Hamhung,North Korea
Malcolm McKinnon Airport,SSI,Brunswick,United States
Beaver County Airport,BFP,Beaver Falls,United States
Georgetown County Airport,GGE,Georgetown,United States
Hardwick Field,HDI,Cleveland,United States
Renton Municipal Airport,RNT,Renton,United States
Brackett Field,POC,La Verne,United States
Cross City Airport,CTY,Cross City,United States
Oconee County Regional Airport,CEU,Clemson,United States
Beech Factory Airport,BEC,Wichita,United States
Tabing Airport,\N,Padang,Indonesia
Tom B. David Field,\N,Calhoun,United States
Habersham County Airport,\N,Cornelia,United States
Georgetown Municipal Airport,\N,Georgetown,United States
Old Rhinebeck Airport,\N,Rhinebeck,United States
Duxford Aerodrome,QFO,Duxford,United Kingdom
Sidney Municipal-Lloyd W Carr Field,SNY,Sidney,United States
Newnan Hospital Heliport,\N,Bengassi,Mali
Great Keppel Is Airport,GKL,Great Keppel Island,Australia
Roper Bar Airport,RPB,Roper Bar,Australia
Mount Garnet Airport,\N,Mount Garnet,Australia
Innisfail Airport,IFL,Innisfail,Australia
Kalaeloa Airport,JRF,Kapolei,United States
Bamiyan Airport,BIN,Bamyan,Afghanistan
Changbaishan Airport,NBS,Baishan,China
Orang Airport,RGO,Chongjin,North Korea
Moomba Airport,MOO,Moomba,Australia
Lublin Airport,LUZ,Lublin,Poland
Iosco County Airport,ECA,East Tawas,United States
Madison County Executive Airport-Tom Sharp Jr Field,\N,Huntsville,United States
Leesburg Executive Airport,\N,Leesburg,United States
Anoka County-Blaine (Janes Field,\N,Anoka,United States
Robinson Crusoe Airport,\N,San Juan Bautista,Chile
Villa Airport,VAM,Maamigili,Maldives
Lingling Airport,LLF,Yongzhou,China
Lošinj Island Airport,LSZ,Mali Losinj,Croatia
Onslow Airport,ONS,Onslow,Australia
Theodore Airport,TDR,Theodore,Australia
Williamson Sodus Airport,\N,Williamson,United States
Fairoaks Airport,\N,Fairoaks,United Kingdom
Boulder Municipal Airport,WBU,Boulder,United States
Neustadt-Glewe Airport,\N,Neustadt-Glewe,Germany
Goetsenhoven Air Base,\N,GOETSENHOVEN,Belgium
Tutow Airport,\N,Wildenrath,Germany
Bremgarten Airport,\N,Bremgarten,Germany
Bitburg Airport,BBJ,Birburg,Germany
Palo Alto Airport of Santa Clara County,PAO,Palo Alto,United States
Ust-Nera Airport,USR,Ust-Nera,Russia
Letiště Vysoké Mýto,\N,Vysoke Myto,Czech Republic
Spa (la Sauvenière,\N,Spa,Belgium
Falcon Field,MSC,Mesa,United States
Coolidge Municipal Airport,\N,Cooldige,United States
Cottonwood Airport,\N,Cottonwood,United States
Namur-Suarlée Airfield,\N,Namur,Belgium
Kiewit Airfield Hasselt,\N,Hasselt,Belgium
Ak-Chin Regional Airport,\N,Phoenix,United States
Wickenburg Municipal Airport,\N,Wickenburg,United States
Yangzhou Taizhou Airport,YTY,Yangzhou,China
Oakland County International Airport,PTK,Pontiac,United States
Kissidougou Airport,KSI,Kissidougou,Guinea
Dillant Hopkins Airport,EEN,Keene,United States
Tianshui Maijishan Airport,THQ,Tianshui,China
Kawama Airport,VRO,Kawama,Cuba
Kooddoo Airport,GKK,Kooddoo,Maldives
Glasgow Industrial Airport,\N,Glasgow,United States
Rochester Airport,RCS,Rochester,United Kingdom
Termas de Río Hondo international Airport,RHD,Rio Hondo,Argentina
Keetmanshoop Airport,KMP,Keetmanshoop,Namibia
Kangding Airport,KGT,Kangding,China
Velikiy Ustyug Airport,VUS,Veliky Ustyug,Russia
Iowa City Municipal Airport,IOW,Iowa City,United States
Turpan Jiaohe Airport,TLQ,Turpan,China
Lorenzo Airport,\N,Morro de Sao Paulo,Brazil
Windom Municipal Airport,\N,Windom,United States
Longview Ranch Airport,\N,Longview,United States
Rothera Research Station,\N,Rothera Research Station,United Kingdom
Sortavala Airport,\N,Sortavala,Russia
Lee Airport,ANP,Annapolis,United States
Cuamba Airport,FXO,Cuamba,Mozambique
Bodaybo Airport,ODO,Bodaibo,Russia
Zhytomyr Airport,ZTR,Zhytomyr,Ukraine
Paluknys Airport,\N,Paluknys,Lithuania
Mattala Rajapaksa International Airport,HRI,Mattala,Sri Lanka
Pecos Municipal Airport,PEQ,Pecos,United States
Hattiesburg Bobby L Chain Municipal Airport,HBG,Hattiesburg,United States
